Biomarkernames	Log10AverageAbundance	EnrichedGroups	LDA	KW_Pvalue	group	stage
Lachnospiraceae_bacterium_3_2	3.182355634	C	2.613987109	0.002395101	CvsWT	14w
Oscillibacter_sp_1_3	4.428039556	C	4.008385922	0.00213492	CvsWT	14w
Faecalibaculum_rodentium	5.316766207	C	4.574152313	0.045371905	CvsWT	14w
Firmicutes_bacterium_ASF500	4.000293658	C	3.452402976	0.002684015	CvsWT	14w
Bacteroides_uniformis	4.90250681	WT	-4.528501802	6.20E-05	CvsWT	14w
Muribaculaceae_bacterium_DSM_103720	5.265655162	WT	-4.498759923	0.01727855	CvsWT	14w
Anaerotruncus_colihominis	2.681655108	WT	-2.316168363	0.001164957	CvsWT	14w
Enterorhabdus_caecimuris	3.530618624	C	3.087448703	3.22E-05	CvsB	14w
Mucispirillum_schaedleri	4.750134977	C	4.323970916	0.015788064	CvsB	14w
Lactobacillus_murinus	4.081751975	C	3.718912377	0.000410101	CvsB	14w
Eubacterium_sp_14_2	3.200610899	C	2.785893324	0.031636225	CvsB	14w
Dorea_sp_5_2	4.598761611	C	4.283134904	0.000253985	CvsB	14w
Lachnospiraceae_bacterium_3_2	3.182355634	C	2.721988475	0.001822118	CvsB	14w
Anaerotruncus_sp_G3_2012	4.453649718	C	4.11467873	3.23E-06	CvsB	14w
Dubosiella_newyorkensis	4.450340567	C	4.162107423	0.001104531	CvsB	14w
Faecalibaculum_rodentium	5.316766207	C	4.755275188	0.001369837	CvsB	14w
Ileibacterium_valens	2.981726145	C	2.615417389	0.005067047	CvsB	14w
Firmicutes_bacterium_ASF500	4.000293658	C	3.695679205	0.002096426	CvsB	14w
Bacteroides_uniformis	4.791292685	B	-4.459042995	0.008003914	CvsB	14w
Muribaculum_intestinale	5.388056238	B	-4.870462607	7.84E-05	CvsB	14w
Lactobacillus_johnsonii	4.477086528	B	-4.125362532	0.000376952	CvsB	14w
Clostridium_sp_ASF502	3.302088645	B	-2.757324475	0.003614999	CvsB	14w
Lachnospiraceae_bacterium_10_1	4.961264859	B	-4.678906179	5.84E-06	CvsB	14w
Lachnospiraceae_bacterium_COE1	3.411700888	B	-3.08069071	3.01E-06	CvsB	14w
Enterorhabdus_caecimuris	3.530618624	C	2.785419087	0.015898526	CvsW	14w
Mucispirillum_schaedleri	4.750134977	C	4.201150977	0.00263669	CvsW	14w
Dorea_sp_5_2	4.598761611	C	4.223193926	0.003030419	CvsW	14w
Oscillibacter_sp_1_3	4.428039556	C	4.010759225	0.017706066	CvsW	14w
Anaerotruncus_sp_G3_2012	4.453649718	C	4.024390705	4.67E-05	CvsW	14w
Faecalibaculum_rodentium	5.316766207	C	4.576750555	0.017706066	CvsW	14w
Firmicutes_bacterium_ASF500	4.000293658	C	3.522460523	0.032798814	CvsW	14w
Bifidobacterium_pseudolongum	4.529059726	W	-4.091895952	0.004426526	CvsW	14w
Lactobacillus_johnsonii	4.918552362	W	-4.601095691	0.000628973	CvsW	14w
Clostridium_symbiosum	2.552435664	W	-2.121524301	0.029934769	CvsW	14w
Lachnospiraceae_bacterium_10_1	4.947834832	W	-4.641355843	5.50E-06	CvsW	14w
Lachnospiraceae_bacterium_COE1	3.715811967	W	-3.443451744	2.09E-06	CvsW	14w
Enterorhabdus_caecimuris	3.530618624	C	3.005062025	0.000183035	CvsP	14w
Mucispirillum_schaedleri	4.750134977	C	4.381904572	0.008790123	CvsP	14w
Lactobacillus_murinus	4.081751975	C	3.661031415	0.004125954	CvsP	14w
Dorea_sp_5_2	4.598761611	C	4.217808029	0.009955415	CvsP	14w
Lachnospiraceae_bacterium_28_4	5.051448374	C	4.650169175	0.041631652	CvsP	14w
Lachnospiraceae_bacterium_A4	3.829122408	C	3.537023111	0.008038764	CvsP	14w
Romboutsia_ilealis	3.137458134	C	2.608421842	0.007268447	CvsP	14w
Anaerotruncus_sp_G3_2012	4.453649718	C	3.866688841	0.024780353	CvsP	14w
Faecalibaculum_rodentium	5.316766207	C	4.614750245	0.033997779	CvsP	14w
Ileibacterium_valens	2.981726145	C	2.584190519	0.005879973	CvsP	14w
Bifidobacterium_pseudolongum	4.279810045	P	-3.715596279	0.033997779	CvsP	14w
Parabacteroides_goldsteinii	5.010167437	P	-4.441454549	0.027577899	CvsP	14w
Lactobacillus_johnsonii	4.076649832	P	-3.719876937	0.019830708	CvsP	14w
Lactobacillus_reuteri	2.603400245	P	-2.309572238	0.031159605	CvsP	14w
Clostridium_sp_ASF356	3.07720224	P	-2.775930913	0.014127705	CvsP	14w
Lachnospiraceae_bacterium_10_1	4.746938299	P	-4.453088089	0.000702977	CvsP	14w
Lachnospiraceae_bacterium_COE1	3.598740981	P	-3.258164225	0.000575105	CvsP	14w
Akkermansia_muciniphila	5.320295274	P	-4.977755607	0.001454105	CvsP	14w
Anaerotruncus_sp_G3_2012	4.189878248	P	3.619390064	0.023239999	PvsW	14w
Dubosiella_newyorkensis	4.791631067	P	4.425891787	0.000754788	PvsW	14w
Escherichia_coli	3.042252416	P	2.717835277	0.023083257	PvsW	14w
Akkermansia_muciniphila	5.320295274	P	4.819613639	0.049534613	PvsW	14w
Enterorhabdus_caecimuris	3.338521326	W	-2.584094233	0.026026074	PvsW	14w
Lactobacillus_johnsonii	4.918552362	W	-4.533503899	0.007611373	PvsW	14w
Lactobacillus_murinus	4.865967157	W	-4.60272217	0.044685326	PvsW	14w
Lachnospiraceae_bacterium_A2	3.009728799	W	-2.52856765	0.016324433	PvsW	14w
Bacteroides_uniformis	4.791292685	B	4.461232239	0.000822616	BvsW	14w
Muribaculum_intestinale	5.388056238	B	4.770360054	0.002600401	BvsW	14w
Clostridium_sp_ASF502	3.302088645	B	2.803230748	0.001239528	BvsW	14w
Bifidobacterium_pseudolongum	4.529059726	W	-4.01989672	0.004551366	BvsW	14w
Enterorhabdus_caecimuris	3.338521326	W	-2.814955778	0.000777859	BvsW	14w
Lactobacillus_murinus	4.865967157	W	-4.583835306	0.012857794	BvsW	14w
Eubacterium_sp_14_2	3.689876102	W	-3.349551479	0.00438376	BvsW	14w
Acetatifactor_muris	2.859011409	W	-2.469149177	0.001239528	BvsW	14w
Dorea_sp_5_2	3.861882524	W	-3.306500933	0.011363169	BvsW	14w
Lachnospiraceae_bacterium_3_2	3.206412005	W	-2.660435235	0.026026074	BvsW	14w
Lachnospiraceae_bacterium_A2	3.009728799	W	-2.654390264	0.001434828	BvsW	14w
Anaerotruncus_sp_G3_2012	3.817293663	W	-3.329691583	0.000663584	BvsW	14w
Flavonifractor_plautii	3.140391784	W	-3.011331153	0.003952763	BvsW	14w
Dubosiella_newyorkensis	3.921119419	W	-3.661243682	0.001505454	BvsW	14w
