"No.","ID","Name","Match status","Pvalue","Metabolite ID","Metabolites","Sig. Metabolite ID","Sig. Metabolites"
12,"ko01053","Biosynthesis of siderophore group nonribosomal peptides","1 in 17","0.164","C00196","2,3-Dihydroxybenzoicacid","C00196","2,3-Dihydroxybenzoicacid"
13,"ko01055","Biosynthesis of vancomycin group antibiotics","1 in 17","0.164","C03590","4-hydroxyphenylglyoxylate","C03590","4-hydroxyphenylglyoxylate"
14,"ko00261","Monobactam biosynthesis","1 in 23","0.215","C03590","4-hydroxyphenylglyoxylate","C03590","4-hydroxyphenylglyoxylate"
15,"ko01051","Biosynthesis of ansamycins","1 in 23","0.215","C12107","3-Amino-5-hydroxybenzoicacid","C12107","3-Amino-5-hydroxybenzoicacid"
16,"ko00254","Aflatoxin biosynthesis","1 in 25","0.232","C00961","Sterigmatocystin","C00961","Sterigmatocystin"
17,"ko00626","Naphthalene degradation","1 in 26","0.24","C06730","4-Methylcatechol","C06730","4-Methylcatechol"
18,"ko00524","Neomycin, kanamycin and gentamicin biosynthesis","1 in 29","0.264","C01737","Neomycin","C01737","Neomycin"
19,"ko00730","Thiamine metabolism","1 in 29","0.264","C01279","4-Amino-5-hydroxymethyl-2-methylpyrimidine","C01279","4-Amino-5-hydroxymethyl-2-methylpyrimidine"
20,"ko00010","Glycolysis / Gluconeogenesis","1 in 31","0.279","C06186","Arbutin","C06186","Arbutin"
21,"ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","1 in 33","0.294","C00493","ShikimicAcid","C00493","ShikimicAcid"
22,"ko00621","Dioxin degradation","1 in 33","0.294","C03569","2,2,3-Trihydroxybiphenyl","C03569","2,2,3-Trihydroxybiphenyl"
23,"ko00300","Lysine biosynthesis","1 in 34","0.302","C03871","L-2-amino-6-oximelicacid","C03871","L-2-amino-6-oximelicacid"
24,"ko00623","Toluene degradation","1 in 37","0.323","C06730","4-Methylcatechol","C06730","4-Methylcatechol"
25,"ko00622","Xylene degradation","1 in 38","0.331","C06730","4-Methylcatechol","C06730","4-Methylcatechol"
26,"ko00624","Polycyclic aromatic hydrocarbon degradation","1 in 38","0.331","C01606","PhthalicAcid","C01606","PhthalicAcid"
27,"ko00997","Biosynthesis of various secondary metabolites - part 3","1 in 39","0.338","C12115","3-Amino-4-HydroxybenzoicAcid","C12115","3-Amino-4-HydroxybenzoicAcid"
28,"ko00360","Phenylalanine metabolism","1 in 45","0.379","C05607","(R)-2-Hydroxy-3-phenylpropionic-acid","C05607","(R)-2-Hydroxy-3-phenylpropionic-acid"
29,"ko00998","Biosynthesis of various secondary metabolites - part 2","1 in 47","0.392","C00755","4-Hydroxy-3-methoxybenzaldehyde","C00755","4-Hydroxy-3-methoxybenzaldehyde"
30,"ko00270","Cysteine and methionine metabolism","1 in 56","0.447","C02989","L-Methioninesulfoxide","C02989","L-Methioninesulfoxide"
31,"ko00790","Folate biosynthesis","1 in 56","0.447","C00568","P-Aminobenzoate","C00568","P-Aminobenzoate"
32,"ko00361","Chlorocyclohexane and chlorobenzene degradation","1 in 69","0.519","C00146","Phenol","C00146","Phenol"
33,"ko00680","Methane metabolism","1 in 83","0.587","C01046","N-Methyl-L-Glutamate","C01046","N-Methyl-L-Glutamate"
34,"ko00520","Amino sugar and nucleotide sugar metabolism","1 in 104","0.671","C20424","2,4-diacetamino-2,4,6-triphenoxy-D-mannopyranose","C20424","2,4-diacetamino-2,4,6-triphenoxy-D-mannopyranose"
