"No.","ID","Name","Match status","Pvalue","Metabolite ID","Metabolites","Sig. Metabolite ID","Sig. Metabolites"
11,"ko00311","Penicillin and cephalosporin biosynthesis","2 in 16","2.68e-02","C00097; C00956","L-Cysteine; 2-AminoadipicAcid","C00097; C00956","L-Cysteine; 2-AminoadipicAcid"
12,"ko00720","Carbon fixation pathways in prokaryotes","3 in 44","3.36e-02","C00158; C00311; C00234","CitricAcid; Isocitric<U+00A0acid; 10-Formyl-Thf","C00158; C00311; C00234","CitricAcid; Isocitric<U+00A0acid; 10-Formyl-Thf"
13,"ko00052","Galactose metabolism","3 in 46","3.76e-02","C01235; C01697; C00089","GalactinolHydrate; Galactitol; D-(+)-sucrose","C01235; C01697; C00089","GalactinolHydrate; Galactitol; D-(+)-sucrose"
14,"ko00260","Glycine, serine and threonine metabolism","3 in 47","3.97e-02","C00049; C00078; C00097","L-AsparticAcid; L-Tryptophan; L-Cysteine","C00049; C00078; C00097","L-AsparticAcid; L-Tryptophan; L-Cysteine"
15,"ko00020","Citrate cycle (TCA cycle)","2 in 20","4.08e-02","C00158; C00311","CitricAcid; Isocitric<U+00A0acid","C00158; C00311","CitricAcid; Isocitric<U+00A0acid"
16,"ko00760","Nicotinate and nicotinamide metabolism","3 in 50","4.64e-02","C00049; C03722; C00253","L-AsparticAcid; Quinolinicacid; NicotinicAcid","C00049; C03722; C00253","L-AsparticAcid; Quinolinicacid; NicotinicAcid"
17,"ko00261","Monobactam biosynthesis","2 in 23","0.053","C00049; C01179","L-AsparticAcid; 4-HydroxyphenylpyruvicAcid","C00049; C01179","L-AsparticAcid; 4-HydroxyphenylpyruvicAcid"
18,"ko00363","Bisphenol degradation","1 in 4","0.063","C00156","4-HydroxybenzoicAcid","C00156","4-HydroxybenzoicAcid"
19,"ko00130","Ubiquinone and other terpenoid-quinone biosynthesis","3 in 59","0.07","C01179; C00544; C00156","4-HydroxyphenylpyruvicAcid; HomogentisicAcid; 4-HydroxybenzoicAcid","C01179; C00544; C00156","4-HydroxyphenylpyruvicAcid; HomogentisicAcid; 4-HydroxybenzoicAcid"
20,"ko00770","Pantothenate and CoA biosynthesis","2 in 27","0.07","C00049; C00097","L-AsparticAcid; L-Cysteine","C00049; C00097","L-AsparticAcid; L-Cysteine"
21,"ko00240","Pyrimidine metabolism","3 in 61","0.075","C00299; C00055; C00112","Uridine; Cytidine-5-Monophosphate; Cytidine5-diphosphate","C00299; C00055; C00112","Uridine; Cytidine-5-Monophosphate; Cytidine5-diphosphate"
22,"ko00730","Thiamine metabolism","2 in 29","0.079","C00097; C01081","L-Cysteine; Thiamine-Monophosphate","C00097; C01081","L-Cysteine; Thiamine-Monophosphate"
23,"ko00340","Histidine metabolism","2 in 33","0.099","C00049; C01152","L-AsparticAcid; 1-Methylhistidine","C00049; C01152","L-AsparticAcid; 1-Methylhistidine"
24,"ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","2 in 33","0.099","C01179; C00078","4-HydroxyphenylpyruvicAcid; L-Tryptophan","C01179; C00078","4-HydroxyphenylpyruvicAcid; L-Tryptophan"
25,"ko01040","Biosynthesis of unsaturated fatty acids","2 in 36","0.115","C01595; C06425","FFA(18:2); FFA(20:0)","C01595; C06425","FFA(18:2); FFA(20:0)"
26,"ko00591","Linoleic acid metabolism","1 in 10","0.151","C01595","FFA(18:2)","C01595","FFA(18:2)"
27,"ko00360","Phenylalanine metabolism","2 in 45","0.165","C05852; C05332","2-hydroxyphenylaceticacid; Phenethylamine","C05852; C05332","2-hydroxyphenylaceticacid; Phenethylamine"
28,"ko00310","Lysine degradation","2 in 46","0.171","C00449; C00956","L-Saccharopine; 2-AminoadipicAcid","C00449; C00956","L-Saccharopine; 2-AminoadipicAcid"
29,"ko00901","Indole alkaloid biosynthesis","1 in 12","0.178","C00078","L-Tryptophan","C00078","L-Tryptophan"
30,"ko00564","Glycerophospholipid metabolism","2 in 49","0.188","C04230; C00670","LPC(16:0/0:0); Sn-Glycero-3-Phosphocholine","C04230; C00670","LPC(16:0/0:0); Sn-Glycero-3-Phosphocholine"
31,"ko00061","Fatty acid biosynthesis","2 in 53","0.212","C02679; C06424","FFA(12:0); FFA(14:0)","C02679; C06424","FFA(12:0); FFA(14:0)"
32,"ko00630","Glyoxylate and dicarboxylate metabolism","2 in 54","0.218","C00158; C00311","CitricAcid; Isocitric<U+00A0acid","C00158; C00311","CitricAcid; Isocitric<U+00A0acid"
33,"ko00270","Cysteine and methionine metabolism","2 in 56","0.23","C00049; C00097","L-AsparticAcid; L-Cysteine","C00049; C00097","L-AsparticAcid; L-Cysteine"
34,"ko00790","Folate biosynthesis","2 in 56","0.23","C00156; C00504","4-HydroxybenzoicAcid; Folic-acid","C00156; C00504","4-HydroxybenzoicAcid; Folic-acid"
35,"ko01053","Biosynthesis of siderophore group nonribosomal peptides","1 in 17","0.243","C00158","CitricAcid","C00158","CitricAcid"
36,"ko01055","Biosynthesis of vancomycin group antibiotics","1 in 17","0.243","C01179","4-HydroxyphenylpyruvicAcid","C01179","4-HydroxyphenylpyruvicAcid"
37,"ko00333","Prodigiosin biosynthesis","1 in 18","0.256","C02679","FFA(12:0)","C02679","FFA(12:0)"
38,"ko00430","Taurine and hypotaurine metabolism","1 in 19","0.268","C00097","L-Cysteine","C00097","L-Cysteine"
39,"ko00362","Benzoate degradation","2 in 65","0.285","C00628; C00156","2,5-Dihydroxybenzoicacid; 4-HydroxybenzoicAcid","C00628; C00156","2,5-Dihydroxybenzoicacid; 4-HydroxybenzoicAcid"
40,"ko00330","Arginine and proline metabolism","2 in 66","0.291","C04282; C01035","1-pyrroline-4-hydroxy-2-carboxylate; 4-GuanidinobutyricAcid","C04282; C01035","1-pyrroline-4-hydroxy-2-carboxylate; 4-GuanidinobutyricAcid"
41,"ko00565","Ether lipid metabolism","1 in 21","0.291","C00670","Sn-Glycero-3-Phosphocholine","C00670","Sn-Glycero-3-Phosphocholine"
42,"ko00643","Styrene degradation","1 in 22","0.303","C00544","HomogentisicAcid","C00544","HomogentisicAcid"
43,"ko00401","Novobiocin biosynthesis","1 in 24","0.326","C01179","4-HydroxyphenylpyruvicAcid","C01179","4-HydroxyphenylpyruvicAcid"
44,"ko00410","beta-Alanine metabolism","1 in 25","0.337","C00049","L-AsparticAcid","C00049","L-AsparticAcid"
45,"ko00460","Cyanoamino acid metabolism","1 in 26","0.347","C00049","L-AsparticAcid","C00049","L-AsparticAcid"
46,"ko00626","Naphthalene degradation","1 in 26","0.347","C00628","2,5-Dihydroxybenzoicacid","C00628","2,5-Dihydroxybenzoicacid"
47,"ko00920","Sulfur metabolism","1 in 30","0.389","C00097","L-Cysteine","C00097","L-Cysteine"
48,"ko00480","Glutathione metabolism","1 in 32","0.409","C00097","L-Cysteine","C00097","L-Cysteine"
49,"ko00500","Starch and sucrose metabolism","1 in 35","0.437","C00089","D-(+)-sucrose","C00089","D-(+)-sucrose"
50,"ko00623","Toluene degradation","1 in 37","0.456","C00156","4-HydroxybenzoicAcid","C00156","4-HydroxybenzoicAcid"
51,"ko00404","Staurosporine biosynthesis","1 in 41","0.491","C00078","L-Tryptophan","C00078","L-Tryptophan"
52,"ko00562","Inositol phosphate metabolism","1 in 45","0.523","C01243","Inositol1,3,4-trisphosphate","C01243","Inositol1,3,4-trisphosphate"
53,"ko00998","Biosynthesis of various secondary metabolites - part 2","1 in 47","0.539","C00078","L-Tryptophan","C00078","L-Tryptophan"
54,"ko00627","Aminobenzoate degradation","1 in 62","0.64","C00156","4-HydroxybenzoicAcid","C00156","4-HydroxybenzoicAcid"
55,"ko00520","Amino sugar and nucleotide sugar metabolism","1 in 104","0.822","C01674","N,N-Diacetyl-Chitobiose","C01674","N,N-Diacetyl-Chitobiose"
56,"ko00860","Porphyrin and chlorophyll metabolism","1 in 106","0.828","C00500","Biliverdin","C00500","Biliverdin"
