	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Class
GO:0031663	GO:0031663	lipopolysaccharide-mediated signaling pathway	11/1400	62/22893	0.001220934	0.01666167	0.013099228	Akt1/Spi1/Tgfb1/Trem2/Nos3/Trim30a/Trib1/Mif/Cactin/Ccl12/Ccl2	11	GF-Control
GO:1900426	GO:1900426	positive regulation of defense response to bacterium	5/1400	15/22893	0.001520518	0.018522973	0.014562566	Lgals9/Rab34/Emilin1/Grn/Mmrn2	5	GF-Control
GO:0010823	GO:0010823	negative regulation of mitochondrion organization	10/1400	56/22893	0.001911166	0.021277149	0.01672787	Akt1/Ier3/Bcl2l1/Bok/Lmna/Mfn2/Slc35f6/Slc25a4/Tspo/Gpx1	10	GF-Control
GO:0072593	GO:0072593	reactive oxygen species metabolic process	27/1400	244/22893	0.002122647	0.023025214	0.01810218	Akt1/Tgfb1/Ier3/Gpx3/Syk/Plau/Cdkn1a/Pdgfrb/Slc1a1/Alox5/Prdx6/Eif6/Ccn1/Nos3/Mfn2/Cxcl1/Trim30a/Abcd1/Agt/Cryab/Adgrb1/Sh3pxd2b/Inava/Tspo/Mmp3/Gpx1/Romo1	27	GF-Control
GO:2000377	GO:2000377	regulation of reactive oxygen species metabolic process	19/1400	161/22893	0.004538304	0.039477691	0.031036943	Akt1/Tgfb1/Ier3/Syk/Plau/Cdkn1a/Pdgfrb/Alox5/Eif6/Mfn2/Cxcl1/Trim30a/Abcd1/Agt/Cryab/Adgrb1/Tspo/Mmp3/Romo1	19	GF-Control
GO:0002367	GO:0002367	cytokine production involved in immune response	15/1400	116/22893	0.004747586	0.040109613	0.031533753	Tgfb1/Apoa2/Rsad2/Bcl6/Smad7/Slamf9/Traf2/Nr4a3/Mif/Cuedc2/Hk1/Spon2/Arid5a/Inava/Bst2	15	GF-Control
GO:0198738	GO:0198738	cell-cell signaling by wnt	42/1400	453/22893	0.004865655	0.040706927	0.032003355	Axin2/Col1a1/Itga3/Tgfb1/Apoe/Fuz/Nle1/Slc9a3r1/Nxn/Ror2/Nkd2/Nfatc4/Frmd8/Mark2/Dab2ip/Bmp2/Ptpru/Ctnnbip1/Dvl1/Wnt5b/Tgfb1i1/Dkkl1/Gpc4/Nkd1/Mdfi/Ctnnd1/Dapk3/Lzts2/Ptpn23/Wnt4/Tax1bp3/Daam2/Plekha4/Pbxip1/Pygo2/Tmem198/Arntl/Sox13/Trabd2b/Grk6/Dact3/Tpbgl	42	GF-Control
GO:0008202	GO:0008202	steroid metabolic process	35/987	337/22893	1.57E-06	0.001386647	0.001273459	Prox1/Acaa1b/Abca5/Fabp6/Apob/Nr1d1/Akr1c18/Pde8b/Thrb/Cyp39a1/Nr3c1/Cyp2e1/Cubn/Cat/Hsd3b6/Hmgcs2/Fmo5/Mttp/Prkaa2/Scp2/Ppargc1a/Hsd17b14/Ces1f/Akr1c14/Tsku/Pbx1/Cyp3a44/Ugt2b5/Ces1g/Lepr/Lep/Akr1c19/Malrd1/Ugt1a1/Ugt1a7c	35	GF-Black
GO:0030073	GO:0030073	insulin secretion	26/987	234/22893	1.02E-05	0.003567455	0.003276254	Pde1c/Gip/Nr1d1/Pde8b/Stxbp5l/Glp1r/Syt7/Acvr1c/Epha5/Sytl4/Ccl5/Rims2/Ptger3/Ildr2/Rfx3/Cnr1/Camk2n1/Rapgef4/Abca12/Casr/Per2/Ptprn2/Lepr/Lep/Pclo/Zbed6	26	GF-Black
GO:0008206	GO:0008206	bile acid metabolic process	10/987	43/22893	1.11E-05	0.003567455	0.003276254	Prox1/Acaa1b/Fabp6/Nr1d1/Cyp39a1/Scp2/Ces1f/Ces1g/Lep/Malrd1	10	GF-Black
GO:0070085	GO:0070085	glycosylation	5/97	215/22893	0.002232436	0.091650539	0.079580143	B3galt2/Slc39a8/Ces2a/A4gnt/Gcnt3	5	GF-Black
GO:0043279	GO:0043279	response to alkaloid	3/97	81/22893	0.004954265	0.122922575	0.106733645	Oprk1/Bche/Cnr1	3	GF-Black
GO:0034329	GO:0034329	cell junction assembly	6/97	440/22893	0.011095434	0.171979223	0.149329522	Cdh19/Ace2/Pclo/Ntrk3/Gpm6a/Cdh8	6	GF-Black
GO:0014046	GO:0014046	dopamine secretion	2/97	42/22893	0.01370339	0.1907935	0.165665954	Oprk1/Cnr1	2	GF-Black
GO:0050892	GO:0050892	intestinal absorption	2/97	43/22893	0.014332592	0.1907935	0.165665954	Gcnt3/Abcg8	2	GF-Black
GO:0048863	GO:0048863	stem cell differentiation	4/97	240/22893	0.019120827	0.220034368	0.191055794	Hoxd4/Sema3d/Gpm6a/Hoxb4	4	GF-Black
GO:0002251	GO:0002251	organ or tissue specific immune response	2/97	68/22893	0.033777014	0.270038335	0.234474228	Cfh/Gcnt3	2	GF-Black
GO:0009812	GO:0009812	flavonoid metabolic process	1/97	11/22893	0.045642921	0.278639498	0.241942615	Ugt1a1	1	GF-Black
