	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	select
hsa04640	hsa04640	Hematopoietic cell lineage	14/262	99/8464	1.89E-06	2.14E-05	1.62E-05	914/951/915/917/920/921/924/1436/1441/2322/3119/3108/3109/3684	14	
hsa05142	hsa05142	Chagas disease	14/262	102/8464	2.73E-06	2.95E-05	2.23E-05	712/713/714/6349/414062/6348/919/915/917/2769/4615/5293/7040/54106	14	
hsa04064	hsa04064	NF-kappa B signaling pathway	14/262	104/8464	3.45E-06	3.57E-05	2.70E-05	597/695/84433/959/3383/27040/3932/4050/4067/4615/10673/8740/7412/7535	14	1
hsa05321	hsa05321	Inflammatory bowel disease	11/262	65/8464	4.12E-06	4.09E-05	3.09E-05	50943/3119/3108/3109/8809/59067/50615/3561/6775/30009/7040	11	
hsa05417	hsa05417	Lipid and atherosclerosis	20/262	215/8464	1.04E-05	9.88E-05	7.47E-05	842/6349/414062/6348/959/1535/1536/3383/4067/4318/4615/653361/4688/4689/5293/5452/5533/7157/7409/7412	20	
hsa04630	hsa04630	JAK-STAT signaling pathway	17/262	166/8464	1.39E-05	0.00012721	9.62E-05	64109/1441/2689/2688/1442/1443/2885/3455/3587/59067/50615/9466/3560/3561/5293/5777/6775	17	
hsa05166	hsa05166	Human T-cell leukemia virus 1 infection	20/262	222/8464	1.67E-05	0.000147131	0.000111276	51529/915/917/920/2113/3119/3108/3109/3383/3560/3561/3683/3689/3932/4487/5293/5533/6688/7040/7157	20	
hsa05144	hsa05144	Malaria	9/262	50/8464	1.87E-05	0.000159263	0.000120451	959/3383/3683/3689/22914/4615/7040/54106/7412	9	
hsa05162	hsa05162	Measles	15/262	139/8464	2.41E-05	0.000198026	0.000149768	842/940/915/917/2213/3455/3560/3561/4478/4615/5293/6504/51284/54106/7157	15	
hsa04664	hsa04664	Fc epsilon RI signaling pathway	10/262	68/8464	4.06E-05	0.000322042	0.000243561	695/2207/2885/3635/27040/3937/4067/5293/5880/7409	10	
hsa05169	hsa05169	Epstein-Barr virus infection	17/262	202/8464	0.000168098	0.001290558	0.000976052	695/842/919/915/917/3119/3108/3109/3383/3455/3683/4067/4615/4794/5293/864/7157	17	
hsa04666	hsa04666	Fc gamma R-mediated phagocytosis	11/262	97/8464	0.000190695	0.001418291	0.001072657	10093/2212/2213/3635/27040/4067/653361/5293/5880/7409/7454	11	
hsa05221	hsa05221	Acute myeloid leukemia	9/262	67/8464	0.000201993	0.001456798	0.00110178	597/1436/2322/2885/3684/51176/5293/6688/6932	9	
hsa04142	hsa04142	Lysosome	13/262	132/8464	0.000214485	0.001501397	0.001135511	410/411/245972/1508/1075/2760/7805/5641/51172/9476/5538/5660/6556	13	1
hsa05135	hsa05135	Yersinia infection	13/262	137/8464	0.000310167	0.00205055	0.001550836	10093/920/2212/27040/3932/3937/4615/5293/5880/391/7409/7454/7535	13	
hsa05322	hsa05322	Systemic lupus erythematosus	13/262	137/8464	0.000310167	0.00205055	0.001550836	712/713/714/721/720/940/959/942/2212/3119/3108/3109/6628	13	
hsa05133	hsa05133	Pertussis	9/262	76/8464	0.000528175	0.003397452	0.002569501	712/713/714/721/720/3394/3684/3689/4615	9	
hsa04613	hsa04613	Neutrophil extracellular trap formation	15/262	191/8464	0.000838675	0.005252755	0.003972672	64581/1535/1536/2212/3683/3684/3689/653361/4688/4689/5293/5880/6404/27180/51284	15	
hsa05330	hsa05330	Allograft rejection	6/262	38/8464	0.000996705	0.006082457	0.004600178	940/959/942/3119/3108/3109	6	
hsa04610	hsa04610	Complement and coagulation cascades	9/262	86/8464	0.001303309	0.007754687	0.005864889	712/713/714/719/721/720/3684/3687/3689	9	
hsa04620	hsa04620	Toll-like receptor signaling pathway	10/262	104/8464	0.001372735	0.007968562	0.006026643	6349/414062/6348/942/3455/3663/4615/5293/51284/54106	10	1
hsa04015	hsa04015	Rap1 signaling pathway	15/262	210/8464	0.00217126	0.012303808	0.009305401	135/54518/1436/51466/3683/3684/3689/27040/3937/5293/5880/83593/10636/8631/7409	15	
hsa05310	hsa05310	Asthma	5/262	31/8464	0.002402167	0.013295713	0.010055582	959/2207/3119/3108/3109	5	
hsa05167	hsa05167	Kaposi sarcoma-associated herpesvirus infection	14/262	194/8464	0.002752177	0.014886777	0.011258907	842/1230/1233/942/3383/3455/51176/4067/9261/5293/5533/57580/6932/7157	14	
hsa05210	hsa05210	Colorectal cancer	8/262	86/8464	0.004994933	0.026417647	0.019979733	842/2885/51176/5293/5880/6932/7040/7157	8	1
hsa05320	hsa05320	Autoimmune thyroid disease	6/262	53/8464	0.005632655	0.029142867	0.022040824	940/959/942/3119/3108/3109	6	
hsa05213	hsa05213	Endometrial cancer	6/262	58/8464	0.008737815	0.04424681	0.033463974	842/2885/51176/5293/6932/7157	6	
hsa05332	hsa05332	Graft-versus-host disease	5/262	42/8464	0.009127596	0.045257666	0.034228487	940/942/3119/3108/3109	5	
hsa04370	hsa04370	VEGF signaling pathway	6/262	59/8464	0.009481677	0.046053862	0.034830652	842/9261/5293/5533/5880/9047	6	
hsa04940	hsa04940	Type I diabetes mellitus	5/262	43/8464	0.010074073	0.047716475	0.03608809	940/942/3119/3108/3109	5	
hsa04612	hsa04612	Antigen processing and presentation	7/262	78/8464	0.010224959	0.047716475	0.03608809	920/972/1508/3119/3108/3109/5641	7	
hsa05418	hsa05418	Fluid shear stress and atherosclerosis	10/262	139/8464	0.010935483	0.050050864	0.037853595	1535/3162/3383/4318/653361/4688/5293/5880/7157/7412	10	
hsa04611	hsa04611	Platelet activation	9/262	124/8464	0.014606841	0.065592984	0.049608139	54518/695/2207/2212/83706/3937/4067/5293/10125	9	
hsa05202	hsa05202	Transcriptional misregulation in cancer	12/262	193/8464	0.016629909	0.073294785	0.055433031	597/942/1436/2313/2322/3560/3684/3695/4005/4318/6688/7157	12	
hsa05145	hsa05145	Toxoplasmosis	8/262	112/8464	0.022616556	0.097868007	0.074017821	842/959/3119/3108/3109/3587/4615/7040	8	
hsa04520	hsa04520	Adherens junction	7/262	93/8464	0.024883178	0.105753508	0.079981645	51176/5770/5777/5880/6615/6932/7454	7	
hsa05143	hsa05143	African trypanosomiasis	4/262	37/8464	0.02659809	0.111058691	0.083993968	3383/4615/54106/7412	4	
hsa05171	hsa05171	Coronavirus disease - COVID-19	13/262	232/8464	0.027972713	0.114784581	0.086811868	712/713/714/719/721/720/1536/2212/3455/4615/5293/340061/51284	13	
hsa05215	hsa05215	Prostate cancer	7/262	97/8464	0.030444976	0.122811938	0.092882978	842/2885/51176/4318/5293/6932/7157	7	
hsa04936	hsa04936	Alcoholic liver disease	9/262	142/8464	0.031979543	0.126852186	0.095938628	712/713/714/719/721/720/51176/4615/6932	9	
hsa04216	hsa04216	Ferroptosis	4/262	41/8464	0.03708132	0.144677938	0.109420289	51703/1536/3162/7157	4	
hsa05164	hsa05164	Influenza A	10/262	171/8464	0.03949065	0.151593142	0.114650275	842/10898/3119/3108/3109/3383/3455/4615/5293/51284	10	
hsa04625	hsa04625	C-type lectin receptor signaling pathway	7/262	104/8464	0.042080919	0.158972361	0.120231197	338339/93978/64581/2207/9261/5293/5533	7	
hsa05020	hsa05020	Prion disease	14/262	273/8464	0.043987081	0.163576959	0.123713667	712/713/714/842/1535/1536/653361/4688/4689/5293/5533/5690/5880/203068	14	
hsa00563	hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	3/262	26/8464	0.045110497	0.16517382	0.124921377	94005/51604/128869	3	
hsa05163	hsa05163	Human cytomegalovirus infection	12/262	225/8464	0.046653512	0.168235392	0.127236851	842/6349/414062/6348/1230/2885/3587/5293/5533/5880/340061/7157	12	
hsa04151	hsa04151	PI3K-Akt signaling pathway	17/262	354/8464	0.047824331	0.169883445	0.128483278	842/11140/1436/1441/2322/2689/2688/1442/1443/2885/3455/3560/3561/3695/118788/5293/7157	17	1
hsa04810	hsa04810	Regulation of actin cytoskeleton	12/262	229/8464	0.052070091	0.182245319	0.137832594	10093/3683/3684/3687/3689/3695/4478/3071/5293/5305/5880/7409	12	
hsa04210	hsa04210	Apoptosis	8/262	136/8464	0.060060745	0.207166049	0.156680205	597/842/1508/1075/2021/27429/5293/7157	8	
hsa05223	hsa05223	Non-small cell lung cancer	5/262	72/8464	0.071709616	0.243812696	0.184396156	842/2885/5293/83593/7157	5	
hsa04722	hsa04722	Neurotrophin signaling pathway	7/262	119/8464	0.075767104	0.25397987	0.192085616	397/2885/9261/4794/5293/10603/7157	7	
hsa05130	hsa05130	Pathogenic Escherichia coli infection	10/262	197/8464	0.085084081	0.280195934	0.211912892	10093/842/27128/2212/3059/4615/4542/3071/5777/203068	10	
hsa05212	hsa05212	Pancreatic cancer	5/262	76/8464	0.08594245	0.280195934	0.211912892	842/5293/5880/7040/7157	5	
hsa05100	hsa05100	Bacterial invasion of epithelial cells	5/262	77/8464	0.089716481	0.288547602	0.218229279	10093/3059/5293/391/1731	5	
hsa05134	hsa05134	Legionellosis	4/262	57/8464	0.099316568	0.315164577	0.238359764	842/3684/3689/4615	4	
hsa05205	hsa05205	Proteoglycans in cancer	10/262	205/8464	0.103759328	0.324930527	0.245745777	2885/3059/10855/4318/4478/5293/5777/7040/7157/7409	10	
hsa05216	hsa05216	Thyroid cancer	3/262	37/8464	0.105626962	0.326483337	0.246920171	51176/6932/7157	3	
hsa04014	hsa04014	Ras signaling pathway	11/262	236/8464	0.115112535	0.348478407	0.263555097	1436/2113/2322/2885/27040/5293/5880/64926/10125/83593/7535	11	
hsa00531	hsa00531	Glycosaminoglycan degradation	2/262	19/8464	0.115671404	0.348478407	0.263555097	411/10855	2	
hsa05170	hsa05170	Human immunodeficiency virus 1 infection	10/262	212/8464	0.121904275	0.361487406	0.273393836	842/919/915/917/920/4615/5293/5533/5880/340061	10	
hsa04621	hsa04621	NOD-like receptor signaling pathway	9/262	186/8464	0.123027226	0.361487406	0.273393836	1508/1535/1536/63940/3455/4615/22861/9051/340061	9	
hsa05161	hsa05161	Hepatitis B	8/262	162/8464	0.129559281	0.376037914	0.284398422	842/2885/4318/4615/5293/6775/7040/7157	8	
hsa04010	hsa04010	MAPK signaling pathway	13/262	302/8464	0.143659363	0.411938896	0.311550426	1436/1844/2322/2885/11184/9261/4615/5533/5778/5880/10125/7040/7157	13	
hsa05132	hsa05132	Salmonella infection	11/262	249/8464	0.1496788	0.419544447	0.317302523	10093/27128/51176/4615/3071/5293/391/399/6932/54106/203068	11	
hsa05225	hsa05225	Hepatocellular carcinoma	8/262	168/8464	0.149837303	0.419544447	0.317302523	2885/3162/51176/5293/6605/6932/7040/7157	8	
hsa05211	hsa05211	Renal cell carcinoma	4/262	69/8464	0.164835607	0.45366647	0.343109095	2113/2885/5293/7040	4	
hsa04935	hsa04935	"Growth hormone synthesis, secretion and action"	6/262	120/8464	0.167703634	0.45366647	0.343109095	2689/2688/1442/1443/2885/5293	6	
hsa00534	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	2/262	24/8464	0.169224479	0.45366647	0.343109095	2132/2134	2	
hsa03050	hsa03050	Proteasome	3/262	46/8464	0.169648386	0.45366647	0.343109095	5690/5696/9491	3	
hsa04071	hsa04071	Sphingolipid signaling pathway	6/262	121/8464	0.172217447	0.455419471	0.344434894	2207/5293/5880/9294/8698/7157	6	
hsa05415	hsa05415	Diabetic cardiomyopathy	9/262	203/8464	0.177932271	0.465361324	0.351953943	1535/1536/4318/653361/4688/4689/5293/5880/7040	9	
hsa04933	hsa04933	AGE-RAGE signaling pathway in diabetic complications	5/262	100/8464	0.197554312	0.511064415	0.386519305	1536/3383/5293/7040/7412	5	
hsa05146	hsa05146	Amoebiasis	5/262	102/8464	0.208524187	0.52368563	0.396064762	2769/3684/3689/5293/7040	5	
hsa05220	hsa05220	Chronic myeloid leukemia	4/262	76/8464	0.208642341	0.52368563	0.396064762	2885/5293/7040/7157	4	
hsa04218	hsa04218	Cellular senescence	7/262	156/8464	0.20903418	0.52368563	0.396064762	2113/9261/5293/5533/83593/7040/7157	7	
hsa04215	hsa04215	Apoptosis - multiple species	2/262	32/8464	0.260649309	0.64619308	0.488717455	842/27429	2	
hsa04130	hsa04130	SNARE interactions in vesicular transport	2/262	33/8464	0.272239284	0.667968552	0.5051863	8676/10791	2	
hsa04668	hsa04668	TNF signaling pathway	5/262	114/8464	0.277917443	0.674942361	0.510460609	3383/8809/4318/5293/7412	5	
hsa05217	hsa05217	Basal cell carcinoma	3/262	63/8464	0.309510376	0.744075449	0.562746138	51176/6932/7157	3	
hsa05226	hsa05226	Gastric cancer	6/262	149/8464	0.314618088	0.748791049	0.566312558	2885/51176/5293/6932/7040/7157	6	
hsa04070	hsa04070	Phosphatidylinositol signaling system	4/262	97/8464	0.353301575	0.814134072	0.615731651	3635/117283/5293/5305	4	
hsa01522	hsa01522	Endocrine resistance	4/262	98/8464	0.360387031	0.814134072	0.615731651	2885/4318/5293/7157	4	
hsa05231	hsa05231	Choline metabolism in cancer	4/262	98/8464	0.360387031	0.814134072	0.615731651	2885/5293/5880/7454	4	
hsa03440	hsa03440	Homologous recombination	2/262	41/8464	0.363911927	0.814134072	0.615731651	29086/57804	2	
hsa05219	hsa05219	Bladder cancer	2/262	41/8464	0.363911927	0.814134072	0.615731651	4318/7157	2	
hsa05120	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	3/262	70/8464	0.369221007	0.814134072	0.615731651	245972/1445/4067	3	
hsa05230	hsa05230	Central carbon metabolism in cancer	3/262	70/8464	0.369221007	0.814134072	0.615731651	2322/5293/7157	3	
hsa04926	hsa04926	Relaxin signaling pathway	5/262	129/8464	0.369725466	0.814134072	0.615731651	2769/2885/4318/5293/7040	5	
hsa00380	hsa00380	Tryptophan metabolism	2/262	42/8464	0.37511204	0.814134072	0.615731651	8564/8942	2	
hsa00604	hsa00604	Glycosphingolipid biosynthesis - ganglio series	1/262	15/8464	0.376280453	0.814134072	0.615731651	8705	1	
hsa04068	hsa04068	FoxO signaling pathway	5/262	131/8464	0.382106196	0.819290762	0.619631669	2885/2911/5293/8698/7040	5	
hsa00562	hsa00562	Inositol phosphate metabolism	3/262	73/8464	0.394588385	0.829374632	0.627258125	3635/5293/5305	3	
hsa01524	hsa01524	Platinum drug resistance	3/262	73/8464	0.394588385	0.829374632	0.627258125	842/5293/7157	3	
hsa03410	hsa03410	Base excision repair	2/262	44/8464	0.397263479	0.829374632	0.627258125	4968/57804	2	
hsa04115	hsa04115	p53 signaling pathway	3/262	74/8464	0.402988395	0.834010764	0.630764444	842/51246/7157	3	
hsa05214	hsa05214	Glioma	3/262	75/8464	0.411355226	0.843987446	0.638309833	2885/5293/7157	3	
hsa05412	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	3/262	77/8464	0.42797753	0.87058677	0.658426969	3695/51176/6932	3	
hsa00061	hsa00061	Fatty acid biosynthesis	1/262	18/8464	0.432530062	0.872391142	0.65979162	51703	1	
hsa01521	hsa01521	EGFR tyrosine kinase inhibitor resistance	3/262	79/8464	0.444432861	0.883488064	0.66818425	2885/9542/5293	3	
hsa05203	hsa05203	Viral carcinogenesis	7/262	204/8464	0.445456167	0.883488064	0.66818425	245972/1233/2885/4067/9261/5293/7157	7	
hsa00565	hsa00565	Ether lipid metabolism	2/262	50/8464	0.461367571	0.907483321	0.686331924	7941/122618	2	
hsa05224	hsa05224	Breast cancer	5/262	147/8464	0.479924993	0.936247117	0.708086055	2885/51176/5293/6932/7157	5	
hsa04072	hsa04072	Phospholipase D signaling pathway	5/262	148/8464	0.485895934	0.937911561	0.709344878	27128/2207/2885/2911/5293	5	
hsa00600	hsa00600	Sphingolipid metabolism	2/262	53/8464	0.491905066	0.937911561	0.709344878	410/5660	2	
hsa04012	hsa04012	ErbB signaling pathway	3/262	85/8464	0.49260061	0.937911561	0.709344878	2885/9542/5293	3	
hsa03430	hsa03430	Mismatch repair	1/262	23/8464	0.515270881	0.966817281	0.731206347	57804	1	
hsa04540	hsa04540	Gap junction	3/262	88/8464	0.515906701	0.966817281	0.731206347	2885/2911/203068	3	
hsa01212	hsa01212	Fatty acid metabolism	2/262	57/8464	0.530886551	0.98711718	0.746559212	51703/5538	2	
hsa05160	hsa05160	Hepatitis C	5/262	157/8464	0.538445827	0.987984543	0.747215201	842/2885/3455/5293/7157	5	
hsa05208	hsa05208	Chemical carcinogenesis - reactive oxygen species	7/262	223/8464	0.539655423	0.987984543	0.747215201	1535/2885/3162/653361/4688/5293/5770	7	
hsa05222	hsa05222	Small cell lung cancer	3/262	92/8464	0.546071103	0.992098645	0.750326706	842/5293/7157	3	
hsa04730	hsa04730	Long-term depression	2/262	60/8464	0.558762689	0.995029039	0.752542971	2911/4067	2	
hsa04978	hsa04978	Mineral absorption	2/262	60/8464	0.558762689	0.995029039	0.752542971	3162/6569	2	
hsa00062	hsa00062	Fatty acid elongation	1/262	27/8464	0.572718145	0.995029039	0.752542971	5538	1	
hsa00601	hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	1/262	27/8464	0.572718145	0.995029039	0.752542971	2529	1	
hsa04966	hsa04966	Collecting duct acid secretion	1/262	27/8464	0.572718145	0.995029039	0.752542971	245972	1	
hsa03420	hsa03420	Nucleotide excision repair	2/262	63/8464	0.585443398	0.995029039	0.752542971	57804/5886	2	
hsa04080	hsa04080	Neuroactive ligand-receptor interaction	11/262	367/8464	0.588275769	0.995029039	0.752542971	135/719/2689/2688/1442/1443/2911/3274/53829/9294/8698	11	
hsa04510	hsa04510	Focal adhesion	6/262	203/8464	0.604199705	0.995029039	0.752542971	2885/3695/64098/5293/5880/7409	6	
hsa04310	hsa04310	Wnt signaling pathway	5/262	171/8464	0.614870734	0.995029039	0.752542971	51176/5533/5880/6932/7157	5	
hsa04910	hsa04910	Insulin signaling pathway	4/262	137/8464	0.617512829	0.995029039	0.752542971	2885/5293/5770/10603	4	
hsa04720	hsa04720	Long-term potentiation	2/262	67/8464	0.619140118	0.995029039	0.752542971	2911/5533	2	
hsa04915	hsa04915	Estrogen signaling pathway	4/262	138/8464	0.62325052	0.995029039	0.752542971	2885/2911/4318/5293	4	
hsa04920	hsa04920	Adipocytokine signaling pathway	2/262	69/8464	0.635184571	0.995029039	0.752542971	51703/4794	2	
hsa04924	hsa04924	Renin secretion	2/262	69/8464	0.635184571	0.995029039	0.752542971	1508/5533	2	
hsa04917	hsa04917	Prolactin signaling pathway	2/262	70/8464	0.643007029	0.995029039	0.752542971	2885/5293	2	
hsa05131	hsa05131	Shigellosis	7/262	247/8464	0.648143251	0.995029039	0.752542971	10093/27128/3059/4615/5293/340061/7157	7	
hsa05218	hsa05218	Melanoma	2/262	72/8464	0.658255297	0.995029039	0.752542971	5293/7157	2	
hsa04066	hsa04066	HIF-1 signaling pathway	3/262	109/8464	0.661160597	0.995029039	0.752542971	1536/3162/5293	3	
hsa03040	hsa03040	Spliceosome	6/262	217/8464	0.668511271	0.995029039	0.752542971	57461/100534599/8175/10262/6628/6631	6	
hsa04360	hsa04360	Axon guidance	5/262	182/8464	0.669446843	0.995029039	0.752542971	5293/10154/5533/5880/10507	5	
hsa00760	hsa00760	Nicotinate and nicotinamide metabolism	1/262	36/8464	0.678373052	0.995029039	0.752542971	23475	1	
hsa03030	hsa03030	DNA replication	1/262	36/8464	0.678373052	0.995029039	0.752542971	57804	1	
hsa03320	hsa03320	PPAR signaling pathway	2/262	75/8464	0.680147384	0.995029039	0.752542971	51703/2171	2	
hsa04960	hsa04960	Aldosterone-regulated sodium reabsorption	1/262	37/8464	0.688371422	0.995029039	0.752542971	5293	1	
hsa04724	hsa04724	Glutamatergic synapse	3/262	115/8464	0.696392469	0.995029039	0.752542971	2911/9762/5533	3	
hsa04390	hsa04390	Hippo signaling pathway	4/262	157/8464	0.721649867	0.995029039	0.752542971	3689/51176/6932/7040	4	
hsa04919	hsa04919	Thyroid hormone signaling pathway	3/262	121/8464	0.728794613	0.995029039	0.752542971	842/5293/7157	3	
hsa00071	hsa00071	Fatty acid degradation	1/262	43/8464	0.742182951	0.995029039	0.752542971	51703	1	
hsa00860	hsa00860	Porphyrin metabolism	1/262	43/8464	0.742182951	0.995029039	0.752542971	3162	1	
hsa04962	hsa04962	Vasopressin-regulated water reabsorption	1/262	44/8464	0.750204334	0.995029039	0.752542971	397	1	
hsa03022	hsa03022	Basal transcription factors	1/262	45/8464	0.757977073	0.995029039	0.752542971	6883	1	
hsa04930	hsa04930	Type II diabetes mellitus	1/262	46/8464	0.765508848	0.995029039	0.752542971	5293	1	
hsa04211	hsa04211	Longevity regulating pathway	2/262	89/8464	0.767566611	0.995029039	0.752542971	5293/7157	2	
hsa04973	hsa04973	Carbohydrate digestion and absorption	1/262	47/8464	0.772807099	0.995029039	0.752542971	5293	1	
hsa05410	hsa05410	Hypertrophic cardiomyopathy	2/262	90/8464	0.772940312	0.995029039	0.752542971	3695/7040	2	
hsa04530	hsa04530	Tight junction	4/262	169/8464	0.773271831	0.995029039	0.752542971	10093/3059/4478/7454	4	
hsa00520	hsa00520	Amino sugar and nucleotide sugar metabolism	1/262	49/8464	0.786731667	0.995029039	0.752542971	80896	1	
hsa05110	hsa05110	Vibrio cholerae infection	1/262	50/8464	0.79337175	0.995029039	0.752542971	245972	1	
hsa04144	hsa04144	Endocytosis	6/262	251/8464	0.795190343	0.995029039	0.752542971	10093/27128/3560/3561/30011/64744	6	
hsa04979	hsa04979	Cholesterol metabolism	1/262	51/8464	0.79980586	0.995029039	0.752542971	348	1	
hsa05414	hsa05414	Dilated cardiomyopathy	2/262	96/8464	0.80296111	0.995029039	0.752542971	3695/7040	2	
hsa03015	hsa03015	mRNA surveillance pathway	2/262	97/8464	0.807608768	0.995029039	0.752542971	10898/55308	2	
hsa05165	hsa05165	Human papillomavirus infection	8/262	331/8464	0.810738947	0.995029039	0.752542971	245972/2885/3455/3695/5293/6932/7157/7283	8	
hsa03460	hsa03460	Fanconi anemia pathway	1/262	55/8464	0.823606971	0.995029039	0.752542971	2188	1	
hsa04550	hsa04550	Signaling pathways regulating pluripotency of stem cells	3/262	143/8464	0.824823739	0.995029039	0.752542971	2885/5293/6932	3	
hsa05017	hsa05017	Spinocerebellar ataxia	3/262	143/8464	0.824823739	0.995029039	0.752542971	2911/5293/5690	3	
hsa04916	hsa04916	Melanogenesis	2/262	101/8464	0.825239791	0.995029039	0.752542971	51176/6932	2	
hsa04914	hsa04914	Progesterone-mediated oocyte maturation	2/262	102/8464	0.829415399	0.995029039	0.752542971	51529/5293	2	
hsa05012	hsa05012	Parkinson disease	6/262	266/8464	0.837776218	0.995029039	0.752542971	135/842/27429/5690/7157/203068	6	
hsa00240	hsa00240	Pyrimidine metabolism	1/262	58/8464	0.839588121	0.995029039	0.752542971	1633	1	
hsa04923	hsa04923	Regulation of lipolysis in adipocytes	1/262	58/8464	0.839588121	0.995029039	0.752542971	5293	1	
hsa04350	hsa04350	TGF-beta signaling pathway	2/262	108/8464	0.852637021	0.995029039	0.752542971	375387/7040	2	
hsa04931	hsa04931	Insulin resistance	2/262	108/8464	0.852637021	0.995029039	0.752542971	5293/5770	2	
hsa00590	hsa00590	Arachidonic acid metabolism	1/262	61/8464	0.854126408	0.995029039	0.752542971	4051	1	
