ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05166	hsa05166	Human T-cell leukemia virus 1 infection	20/262	222/8464	1.66913621116737e-05	0.00014713126602142	0.000111275747411158	51529/915/917/920/2113/3119/3108/3109/3383/3560/3561/3683/3689/3932/4487/5293/5533/6688/7040/7157	20
hsa05144	hsa05144	Malaria	9/262	50/8464	1.87368274665235e-05	0.00015926303346545	0.000120451033713365	959/3383/3683/3689/22914/4615/7040/54106/7412	9
hsa05162	hsa05162	Measles	15/262	139/8464	2.41292493131744e-05	0.000198026252983983	0.000149767754357634	842/940/915/917/2213/3455/3560/3561/4478/4615/5293/6504/51284/54106/7157	15
hsa04664	hsa04664	Fc epsilon RI signaling pathway	10/262	68/8464	4.05935168579475e-05	0.000322041900406383	0.000243561101147685	695/2207/2885/3635/27040/3937/4067/5293/5880/7409	10
hsa05169	hsa05169	Epstein-Barr virus infection	17/262	202/8464	0.000168097922273817	0.00129055824197318	0.000976052451912488	695/842/919/915/917/3119/3108/3109/3383/3455/3683/4067/4615/4794/5293/864/7157	17
hsa04666	hsa04666	Fc gamma R-mediated phagocytosis	11/262	97/8464	0.000190694559014744	0.00141829078267216	0.00107265689445793	10093/2212/2213/3635/27040/4067/653361/5293/5880/7409/7454	11
hsa05221	hsa05221	Acute myeloid leukemia	9/262	67/8464	0.00020199302337688	0.00145679816859689	0.00110178012751026	597/1436/2322/2885/3684/51176/5293/6688/6932	9
hsa04142	hsa04142	Lysosome	13/262	132/8464	0.000214485344868406	0.00150139741407884	0.00113551064930333	410/411/245972/1508/1075/2760/7805/5641/51172/9476/5538/5660/6556	13
hsa05135	hsa05135	Yersinia infection	13/262	137/8464	0.00031016725359607	0.0020505501765518	0.00155083626798035	10093/920/2212/27040/3932/3937/4615/5293/5880/391/7409/7454/7535	13
hsa05322	hsa05322	Systemic lupus erythematosus	13/262	137/8464	0.00031016725359607	0.0020505501765518	0.00155083626798035	712/713/714/721/720/940/959/942/2212/3119/3108/3109/6628	13
hsa05133	hsa05133	Pertussis	9/262	76/8464	0.000528175274647294	0.00339745176665016	0.00256950133612197	712/713/714/721/720/3394/3684/3689/4615	9
hsa04613	hsa04613	Neutrophil extracellular trap formation	15/262	191/8464	0.000838675119861577	0.00525275469808041	0.00397267162039695	64581/1535/1536/2212/3683/3684/3689/653361/4688/4689/5293/5880/6404/27180/51284	15
hsa05330	hsa05330	Allograft rejection	6/262	38/8464	0.000996705189566087	0.00608245731068535	0.00460017779799732	940/959/942/3119/3108/3109	6
hsa04610	hsa04610	Complement and coagulation cascades	9/262	86/8464	0.00130330872372599	0.00775468690616964	0.00586488925676695	712/713/714/719/721/720/3684/3687/3689	9
hsa04620	hsa04620	Toll-like receptor signaling pathway	10/262	104/8464	0.00137273546050631	0.00796856194147568	0.00602664348514968	6349/414062/6348/942/3455/3663/4615/5293/51284/54106	10
hsa04015	hsa04015	Rap1 signaling pathway	15/262	210/8464	0.00217126029697239	0.0123038083495102	0.00930540127273881	135/54518/1436/51466/3683/3684/3689/27040/3937/5293/5880/83593/10636/8631/7409	15
hsa05310	hsa05310	Asthma	5/262	31/8464	0.00240216670814793	0.0132957134078885	0.0100555815689913	959/2207/3119/3108/3109	5
hsa05167	hsa05167	Kaposi sarcoma-associated herpesvirus infection	14/262	194/8464	0.00275217732659202	0.014886777357475	0.0112589072451492	842/1230/1233/942/3383/3455/51176/4067/9261/5293/5533/57580/6932/7157	14
hsa05210	hsa05210	Colorectal cancer	8/262	86/8464	0.00499493319549467	0.026417646678394	0.0199797327819787	842/2885/51176/5293/5880/6932/7040/7157	8
hsa05320	hsa05320	Autoimmune thyroid disease	6/262	53/8464	0.00563265505853027	0.0291428674767436	0.022040824142075	940/959/942/3119/3108/3109	6
hsa05213	hsa05213	Endometrial cancer	6/262	58/8464	0.00873781536063767	0.0442468096985482	0.0334639737215911	842/2885/51176/5293/6932/7157	6
hsa05332	hsa05332	Graft-versus-host disease	5/262	42/8464	0.00912759643146264	0.0452576656393356	0.0342284866179849	940/942/3119/3108/3109	5
hsa04370	hsa04370	VEGF signaling pathway	6/262	59/8464	0.00948167742603616	0.0460538617836042	0.0348306517691124	842/9261/5293/5533/5880/9047	6
hsa04940	hsa04940	Type I diabetes mellitus	5/262	43/8464	0.0100740729280492	0.0477164745721076	0.0360880900125183	940/942/3119/3108/3109	5
hsa04612	hsa04612	Antigen processing and presentation	7/262	78/8464	0.0102249588368802	0.0477164745721076	0.0360880900125183	920/972/1508/3119/3108/3109/5641	7
hsa05418	hsa05418	Fluid shear stress and atherosclerosis	10/262	139/8464	0.0109354829980793	0.0500508644912093	0.0378535949933516	1535/3162/3383/4318/653361/4688/5293/5880/7157/7412	10
hsa04611	hsa04611	Platelet activation	9/262	124/8464	0.014606840954398	0.0655929839084288	0.0496081390904083	54518/695/2207/2212/83706/3937/4067/5293/10125	9
hsa05202	hsa05202	Transcriptional misregulation in cancer	12/262	193/8464	0.0166299092821372	0.0732947853546046	0.0554330309404573	597/942/1436/2313/2322/3560/3684/3695/4005/4318/6688/7157	12
hsa05145	hsa05145	Toxoplasmosis	8/262	112/8464	0.0226165563237476	0.0978680073645804	0.0740178206959012	842/959/3119/3108/3109/3587/4615/7040	8
hsa04520	hsa04520	Adherens junction	7/262	93/8464	0.0248831783925903	0.105753508168509	0.079981644833326	51176/5770/5777/5880/6615/6932/7454	7
hsa05143	hsa05143	African trypanosomiasis	4/262	37/8464	0.0265980898157658	0.111058690809689	0.0839939678392604	3383/4615/54106/7412	4
hsa05171	hsa05171	Coronavirus disease - COVID-19	13/262	232/8464	0.0279727130087513	0.114784580966945	0.0868118679581937	712/713/714/719/721/720/1536/2212/3455/4615/5293/340061/51284	13
hsa05215	hsa05215	Prostate cancer	7/262	97/8464	0.0304449761874375	0.122811937840849	0.0928829781989618	842/2885/51176/4318/5293/6932/7157	7
hsa04936	hsa04936	Alcoholic liver disease	9/262	142/8464	0.0319795425874149	0.126852185596746	0.0959386277622447	712/713/714/719/721/720/51176/4615/6932	9
hsa04216	hsa04216	Ferroptosis	4/262	41/8464	0.0370813203204976	0.144677938299647	0.109420289470321	51703/1536/3162/7157	4
hsa05164	hsa05164	Influenza A	10/262	171/8464	0.0394906503930253	0.151593141831291	0.11465027533459	842/10898/3119/3108/3109/3383/3455/4615/5293/51284	10
hsa04625	hsa04625	C-type lectin receptor signaling pathway	7/262	104/8464	0.042080919040124	0.158972360818246	0.120231197257497	338339/93978/64581/2207/9261/5293/5533	7
hsa05020	hsa05020	Prion disease	14/262	273/8464	0.0439870814917115	0.163576959297302	0.123713666695439	712/713/714/842/1535/1536/653361/4688/4689/5293/5533/5690/5880/203068	14
hsa00563	hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	3/262	26/8464	0.0451104971350845	0.165173820279232	0.124921376681772	94005/51604/128869	3
hsa05163	hsa05163	Human cytomegalovirus infection	12/262	225/8464	0.0466535121403903	0.168235392263832	0.127236851291974	842/6349/414062/6348/1230/2885/3587/5293/5533/5880/340061/7157	12
hsa04151	hsa04151	PI3K-Akt signaling pathway	17/262	354/8464	0.0478243312307376	0.169883445267396	0.128483277933325	842/11140/1436/1441/2322/2689/2688/1442/1443/2885/3455/3560/3561/3695/118788/5293/7157	17
hsa04810	hsa04810	Regulation of actin cytoskeleton	12/262	229/8464	0.0520700912294147	0.182245319302951	0.137832594430804	10093/3683/3684/3687/3689/3695/4478/3071/5293/5305/5880/7409	12
hsa04210	hsa04210	Apoptosis	8/262	136/8464	0.0600607453308449	0.20716604911219	0.1566802052109	597/842/1508/1075/2021/27429/5293/7157	8
hsa05223	hsa05223	Non-small cell lung cancer	5/262	72/8464	0.0717096163876168	0.243812695717897	0.1843961564253	842/2885/5293/83593/7157	5
hsa04722	hsa04722	Neurotrophin signaling pathway	7/262	119/8464	0.0757671040823953	0.253979870022677	0.192085615983537	397/2885/9261/4794/5293/10603/7157	7
hsa05130	hsa05130	Pathogenic Escherichia coli infection	10/262	197/8464	0.0850840807854512	0.280195934432767	0.211912891587807	10093/842/27128/2212/3059/4615/4542/3071/5777/203068	10
hsa05212	hsa05212	Pancreatic cancer	5/262	76/8464	0.0859424504772773	0.280195934432767	0.211912891587807	842/5293/5880/7040/7157	5
hsa05100	hsa05100	Bacterial invasion of epithelial cells	5/262	77/8464	0.0897164814328812	0.288547602446294	0.218229279161062	10093/3059/5293/391/1731	5
hsa05134	hsa05134	Legionellosis	4/262	57/8464	0.0993165683110619	0.31516457677377	0.238359763946549	842/3684/3689/4615	4
hsa05205	hsa05205	Proteoglycans in cancer	10/262	205/8464	0.103759327980219	0.324930527095947	0.245745776795254	2885/3059/10855/4318/4478/5293/5777/7040/7157/7409	10
hsa05216	hsa05216	Thyroid cancer	3/262	37/8464	0.10562696190561	0.326483336799157	0.246920170688438	51176/6932/7157	3
hsa04014	hsa04014	Ras signaling pathway	11/262	236/8464	0.115112534941268	0.348478406501551	0.263555097354114	1436/2113/2322/2885/27040/5293/5880/64926/10125/83593/7535	11
hsa00531	hsa00531	Glycosaminoglycan degradation	2/262	19/8464	0.11567140383875	0.348478406501551	0.263555097354114	411/10855	2
hsa05170	hsa05170	Human immunodeficiency virus 1 infection	10/262	212/8464	0.121904274670802	0.361487405762846	0.273393836291228	842/919/915/917/920/4615/5293/5533/5880/340061	10
hsa04621	hsa04621	NOD-like receptor signaling pathway	9/262	186/8464	0.123027226331053	0.361487405762846	0.273393836291228	1508/1535/1536/63940/3455/4615/22861/9051/340061	9
hsa05161	hsa05161	Hepatitis B	8/262	162/8464	0.129559281125316	0.376037913510063	0.2843984219824	842/2885/4318/4615/5293/6775/7040/7157	8
hsa04010	hsa04010	MAPK signaling pathway	13/262	302/8464	0.14365936299591	0.411938896301524	0.311550425774262	1436/1844/2322/2885/11184/9261/4615/5533/5778/5880/10125/7040/7157	13
hsa05132	hsa05132	Salmonella infection	11/262	249/8464	0.149678800226296	0.419544447306908	0.317302523173291	10093/27128/51176/4615/3071/5293/391/399/6932/54106/203068	11
hsa05225	hsa05225	Hepatocellular carcinoma	8/262	168/8464	0.14983730260961	0.419544447306908	0.317302523173291	2885/3162/51176/5293/6605/6932/7040/7157	8
hsa05211	hsa05211	Renal cell carcinoma	4/262	69/8464	0.164835607231832	0.453666469995376	0.343109094954486	2113/2885/5293/7040	4
hsa04935	hsa04935	Growth hormone synthesis, secretion and action	6/262	120/8464	0.167703634438506	0.453666469995376	0.343109094954486	2689/2688/1442/1443/2885/5293	6
hsa00534	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	2/262	24/8464	0.169224479287883	0.453666469995376	0.343109094954486	2132/2134	2
hsa03050	hsa03050	Proteasome	3/262	46/8464	0.169648385838607	0.453666469995376	0.343109094954486	5690/5696/9491	3
hsa04071	hsa04071	Sphingolipid signaling pathway	6/262	121/8464	0.172217446953894	0.455419470833631	0.344434893907789	2207/5293/5880/9294/8698/7157	6
hsa05415	hsa05415	Diabetic cardiomyopathy	9/262	203/8464	0.177932271015969	0.465361324195611	0.35195394266895	1535/1536/4318/653361/4688/4689/5293/5880/7040	9
hsa04933	hsa04933	AGE-RAGE signaling pathway in diabetic complications	5/262	100/8464	0.197554311564346	0.511064414699068	0.38651930523459	1536/3383/5293/7040/7412	5
hsa05146	hsa05146	Amoebiasis	5/262	102/8464	0.208524187244494	0.523685630042246	0.396064762216825	2769/3684/3689/5293/7040	5
hsa05220	hsa05220	Chronic myeloid leukemia	4/262	76/8464	0.20864234061528	0.523685630042246	0.396064762216825	2885/5293/7040/7157	4
hsa04218	hsa04218	Cellular senescence	7/262	156/8464	0.20903418005888	0.523685630042246	0.396064762216825	2113/9261/5293/5533/83593/7040/7157	7
hsa04215	hsa04215	Apoptosis - multiple species	2/262	32/8464	0.260649309496681	0.646193079793854	0.488717455306276	842/27429	2
hsa04130	hsa04130	SNARE interactions in vesicular transport	2/262	33/8464	0.272239283900442	0.66796855225057	0.505186300021439	8676/10791	2
hsa04668	hsa04668	TNF signaling pathway	5/262	114/8464	0.277917442827818	0.674942361153273	0.510460609275585	3383/8809/4318/5293/7412	5
hsa05217	hsa05217	Basal cell carcinoma	3/262	63/8464	0.309510375706146	0.744075448667299	0.562746137647537	51176/6932/7157	3
hsa05226	hsa05226	Gastric cancer	6/262	149/8464	0.314618087964608	0.748791049355767	0.566312558336294	2885/51176/5293/6932/7040/7157	6
hsa04070	hsa04070	Phosphatidylinositol signaling system	4/262	97/8464	0.353301574942324	0.814134071948055	0.615731651053151	3635/117283/5293/5305	4
hsa01522	hsa01522	Endocrine resistance	4/262	98/8464	0.360387031138179	0.814134071948055	0.615731651053151	2885/4318/5293/7157	4
hsa05231	hsa05231	Choline metabolism in cancer	4/262	98/8464	0.360387031138179	0.814134071948055	0.615731651053151	2885/5293/5880/7454	4
hsa03440	hsa03440	Homologous recombination	2/262	41/8464	0.363911927123055	0.814134071948055	0.615731651053151	29086/57804	2
hsa05219	hsa05219	Bladder cancer	2/262	41/8464	0.363911927123055	0.814134071948055	0.615731651053151	4318/7157	2
hsa05120	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	3/262	70/8464	0.369221007328689	0.814134071948055	0.615731651053151	245972/1445/4067	3
hsa05230	hsa05230	Central carbon metabolism in cancer	3/262	70/8464	0.369221007328689	0.814134071948055	0.615731651053151	2322/5293/7157	3
hsa04926	hsa04926	Relaxin signaling pathway	5/262	129/8464	0.369725465679181	0.814134071948055	0.615731651053151	2769/2885/4318/5293/7040	5
hsa00380	hsa00380	Tryptophan metabolism	2/262	42/8464	0.375112039968372	0.814134071948055	0.615731651053151	8564/8942	2
hsa00604	hsa00604	Glycosphingolipid biosynthesis - ganglio series	1/262	15/8464	0.37628045342137	0.814134071948055	0.615731651053151	8705	1
hsa04068	hsa04068	FoxO signaling pathway	5/262	131/8464	0.382106195663401	0.819290761872879	0.619631668643354	2885/2911/5293/8698/7040	5
hsa00562	hsa00562	Inositol phosphate metabolism	3/262	73/8464	0.394588385225716	0.829374631983791	0.627258125029758	3635/5293/5305	3
hsa01524	hsa01524	Platinum drug resistance	3/262	73/8464	0.394588385225716	0.829374631983791	0.627258125029758	842/5293/7157	3
hsa03410	hsa03410	Base excision repair	2/262	44/8464	0.397263479185513	0.829374631983791	0.627258125029758	4968/57804	2
hsa04115	hsa04115	p53 signaling pathway	3/262	74/8464	0.402988394605781	0.834010764488486	0.630764443730788	842/51246/7157	3
hsa05214	hsa05214	Glioma	3/262	75/8464	0.411355225561828	0.843987445549269	0.638309832768354	2885/5293/7157	3
hsa05412	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	3/262	77/8464	0.427977529877962	0.870586770179103	0.658426969043019	3695/51176/6932	3
hsa00061	hsa00061	Fatty acid biosynthesis	1/262	18/8464	0.432530062059116	0.872391142119235	0.659791620090178	51703	1
hsa01521	hsa01521	EGFR tyrosine kinase inhibitor resistance	3/262	79/8464	0.444432860764904	0.883488063783597	0.668184249920368	2885/9542/5293	3
hsa05203	hsa05203	Viral carcinogenesis	7/262	204/8464	0.445456166613578	0.883488063783597	0.668184249920368	245972/1233/2885/4067/9261/5293/7157	7
hsa00565	hsa00565	Ether lipid metabolism	2/262	50/8464	0.461367570953821	0.907483321380243	0.686331923732957	7941/122618	2
hsa05224	hsa05224	Breast cancer	5/262	147/8464	0.479924992863928	0.936247117226351	0.70808605504514	2885/51176/5293/6932/7157	5
hsa04072	hsa04072	Phospholipase D signaling pathway	5/262	148/8464	0.485895934238928	0.937911560858396	0.709344877960131	27128/2207/2885/2911/5293	5
hsa00600	hsa00600	Sphingolipid metabolism	2/262	53/8464	0.491905066379987	0.937911560858396	0.709344877960131	410/5660	2
hsa04012	hsa04012	ErbB signaling pathway	3/262	85/8464	0.492600609694536	0.937911560858396	0.709344877960131	2885/9542/5293	3
hsa03430	hsa03430	Mismatch repair	1/262	23/8464	0.515270880601993	0.966817281377119	0.731206347260006	57804	1
hsa04540	hsa04540	Gap junction	3/262	88/8464	0.515906700566782	0.966817281377119	0.731206347260006	2885/2911/203068	3
hsa01212	hsa01212	Fatty acid metabolism	2/262	57/8464	0.53088655075138	0.987117180303347	0.746559211994128	51703/5538	2
hsa05160	hsa05160	Hepatitis C	5/262	157/8464	0.538445827391719	0.987984542917194	0.747215200525609	842/2885/3455/5293/7157	5
hsa05208	hsa05208	Chemical carcinogenesis - reactive oxygen species	7/262	223/8464	0.539655422601829	0.987984542917194	0.747215200525609	1535/2885/3162/653361/4688/5293/5770	7
hsa05222	hsa05222	Small cell lung cancer	3/262	92/8464	0.546071102689702	0.992098644581291	0.750326705985851	842/5293/7157	3
hsa04730	hsa04730	Long-term depression	2/262	60/8464	0.558762688816425	0.995029039241434	0.752542970854866	2911/4067	2
hsa04978	hsa04978	Mineral absorption	2/262	60/8464	0.558762688816425	0.995029039241434	0.752542970854866	3162/6569	2
hsa00062	hsa00062	Fatty acid elongation	1/262	27/8464	0.572718145164382	0.995029039241434	0.752542970854866	5538	1
hsa00601	hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	1/262	27/8464	0.572718145164382	0.995029039241434	0.752542970854866	2529	1
hsa04966	hsa04966	Collecting duct acid secretion	1/262	27/8464	0.572718145164382	0.995029039241434	0.752542970854866	245972	1
hsa03420	hsa03420	Nucleotide excision repair	2/262	63/8464	0.58544339843196	0.995029039241434	0.752542970854866	57804/5886	2
hsa04080	hsa04080	Neuroactive ligand-receptor interaction	11/262	367/8464	0.588275769190865	0.995029039241434	0.752542970854866	135/719/2689/2688/1442/1443/2911/3274/53829/9294/8698	11
hsa04510	hsa04510	Focal adhesion	6/262	203/8464	0.604199705130565	0.995029039241434	0.752542970854866	2885/3695/64098/5293/5880/7409	6
hsa04310	hsa04310	Wnt signaling pathway	5/262	171/8464	0.614870734437523	0.995029039241434	0.752542970854866	51176/5533/5880/6932/7157	5
hsa04910	hsa04910	Insulin signaling pathway	4/262	137/8464	0.61751282944455	0.995029039241434	0.752542970854866	2885/5293/5770/10603	4
hsa04720	hsa04720	Long-term potentiation	2/262	67/8464	0.619140118376184	0.995029039241434	0.752542970854866	2911/5533	2
hsa04915	hsa04915	Estrogen signaling pathway	4/262	138/8464	0.623250519661174	0.995029039241434	0.752542970854866	2885/2911/4318/5293	4
hsa04920	hsa04920	Adipocytokine signaling pathway	2/262	69/8464	0.635184571249175	0.995029039241434	0.752542970854866	51703/4794	2
hsa04924	hsa04924	Renin secretion	2/262	69/8464	0.635184571249175	0.995029039241434	0.752542970854866	1508/5533	2
hsa04917	hsa04917	Prolactin signaling pathway	2/262	70/8464	0.643007029011542	0.995029039241434	0.752542970854866	2885/5293	2
hsa05131	hsa05131	Shigellosis	7/262	247/8464	0.648143251411826	0.995029039241434	0.752542970854866	10093/27128/3059/4615/5293/340061/7157	7
hsa05218	hsa05218	Melanoma	2/262	72/8464	0.658255297147584	0.995029039241434	0.752542970854866	5293/7157	2
hsa04066	hsa04066	HIF-1 signaling pathway	3/262	109/8464	0.661160597122223	0.995029039241434	0.752542970854866	1536/3162/5293	3
hsa03040	hsa03040	Spliceosome	6/262	217/8464	0.668511270575681	0.995029039241434	0.752542970854866	57461/100534599/8175/10262/6628/6631	6
hsa04360	hsa04360	Axon guidance	5/262	182/8464	0.669446843016743	0.995029039241434	0.752542970854866	5293/10154/5533/5880/10507	5
hsa00760	hsa00760	Nicotinate and nicotinamide metabolism	1/262	36/8464	0.678373051829478	0.995029039241434	0.752542970854866	23475	1
hsa03030	hsa03030	DNA replication	1/262	36/8464	0.678373051829478	0.995029039241434	0.752542970854866	57804	1
hsa03320	hsa03320	PPAR signaling pathway	2/262	75/8464	0.680147384436948	0.995029039241434	0.752542970854866	51703/2171	2
hsa04960	hsa04960	Aldosterone-regulated sodium reabsorption	1/262	37/8464	0.688371421599373	0.995029039241434	0.752542970854866	5293	1
hsa04724	hsa04724	Glutamatergic synapse	3/262	115/8464	0.696392469027581	0.995029039241434	0.752542970854866	2911/9762/5533	3
hsa04390	hsa04390	Hippo signaling pathway	4/262	157/8464	0.721649867227855	0.995029039241434	0.752542970854866	3689/51176/6932/7040	4
hsa04919	hsa04919	Thyroid hormone signaling pathway	3/262	121/8464	0.728794612631817	0.995029039241434	0.752542970854866	842/5293/7157	3
hsa00071	hsa00071	Fatty acid degradation	1/262	43/8464	0.742182951095708	0.995029039241434	0.752542970854866	51703	1
hsa00860	hsa00860	Porphyrin metabolism	1/262	43/8464	0.742182951095708	0.995029039241434	0.752542970854866	3162	1
hsa04962	hsa04962	Vasopressin-regulated water reabsorption	1/262	44/8464	0.750204334163387	0.995029039241434	0.752542970854866	397	1
hsa03022	hsa03022	Basal transcription factors	1/262	45/8464	0.757977073409134	0.995029039241434	0.752542970854866	6883	1
hsa04930	hsa04930	Type II diabetes mellitus	1/262	46/8464	0.765508847582647	0.995029039241434	0.752542970854866	5293	1
hsa04211	hsa04211	Longevity regulating pathway	2/262	89/8464	0.767566611050118	0.995029039241434	0.752542970854866	5293/7157	2
hsa04973	hsa04973	Carbohydrate digestion and absorption	1/262	47/8464	0.772807099178436	0.995029039241434	0.752542970854866	5293	1
hsa05410	hsa05410	Hypertrophic cardiomyopathy	2/262	90/8464	0.772940311928326	0.995029039241434	0.752542970854866	3695/7040	2
hsa04530	hsa04530	Tight junction	4/262	169/8464	0.773271830515309	0.995029039241434	0.752542970854866	10093/3059/4478/7454	4
hsa00520	hsa00520	Amino sugar and nucleotide sugar metabolism	1/262	49/8464	0.786731666568315	0.995029039241434	0.752542970854866	80896	1
